chamado,vertical,data_avaliacao,classificacao,rotulo_aplicado
BTHSC-324308,pessoal,2026-06-12,Parcial,nao
BTHSC-323959,arrecadacao,2026-06-12,Aderente,nao
BTHSC-320159,arrecadacao,2026-06-12,Parcial,nao
BTHSC-324750,pessoal,2026-06-12,Aderente,nao
BTHSC-323166,arrecadacao,2026-06-12,Parcial,nao
BTHSC-323739,pessoal,2026-06-12,Parcial,nao
BTHSC-323601,pessoal,2026-06-12,Aderente,nao
BTHSC-324485,arrecadacao,2026-06-12,Parcial,nao
BTHSC-324528,pessoal,2026-06-12,Parcial,nao
BTHSC-323417,pessoal,2026-06-12,Parcial,nao
BTHSC-324199,saude,2026-06-12,Aderente,nao
BTHSC-323179,arrecadacao,2026-06-12,Aderente,nao
BTHSC-322157,arrecadacao,2026-06-12,Divergente,nao
BTHSC-323611,arrecadacao,2026-06-12,Parcial,nao
BTHSC-319676,arrecadacao,2026-06-12,Aderente,nao
BTHSC-320433,arrecadacao,2026-06-12,Aderente,nao
BTHSC-322087,arrecadacao,2026-06-12,Aderente,nao
BTHSC-323724,arrecadacao,2026-06-12,Parcial,nao
BTHSC-323705,pessoal,2026-06-12,Aderente,nao
BTHSC-320148,arrecadacao,2026-06-12,Parcial,nao
BTHSC-322580,pessoal,2026-06-12,Parcial,nao
BTHSC-319946,arrecadacao,2026-06-12,Aderente,nao
BTHSC-323565,pessoal,2026-06-12,Aderente,nao
BTHSC-310077,arrecadacao,2026-06-12,Aderente,nao
BTHSC-322944,pessoal,2026-06-12,Parcial,nao
BTHSC-322743,pessoal,2026-06-12,Parcial,nao
BTHSC-321284,pessoal,2026-06-12,Parcial,nao
BTHSC-322714,pessoal,2026-06-12,Parcial,nao
BTHSC-319068,arrecadacao,2026-06-12,Parcial,nao
ASISI-101459,saude,2026-06-12,Aderente,nao
